Year|Paper ID|Paper Class|Evaluation Method
2018|Weyns2018|Proposal of Solution|Case Study
2018|Yasaweerasinghelage2018|Evaluation Research|Case Study
2019|Alam2019|Evaluation Research|Case Study
2019|Arcelli2019|Proposal of Solution|Case Study
2019|Castellanos2019|Evaluation Research|Questionnaire
2019|Dajsuren2019|Evaluation Research|Motivating Example
2019|Eismann2019|Evaluation Research|Technical Experiment
2019|Gerking2019|Proposal of Solution,Validation Research|Technical Experiment
2019|Gonzalez2019|Evaluation Research|Data Science
2019|Jahic2019a|Evaluation Research|Technical Experiment
2019|Jahic2019|Proposal of Solution|Technical Experiment
2019|Maartensson2019|Evaluation Research|Focus Group
2019|Malakuti2019|Proposal of Solution,Validation Research|Case Study
2019|Malki2019|Evaluation Research|Grounded Theory
2019|Mattos2019|Evaluation Research|Field Experiment
2019|Mayrhofer2019|Proposal of Solution,Validation Research|Motivating Example,Argumentation
2019|Musil2019|Proposal of Solution,Validation Research|Case Study
2019|Ntentos2019|Evaluation Research|Grounded Theory
2019|Nunes2019|Proposal of Solution,Validation Research|Case Study
2019|Pigazzini2019a|Proposal of Solution|Case Study,Case Study
2019|Power2019|Evaluation Research|Questionnaire,Focus Group
2019|Rademacher2019|Evaluation Research|Case Study
2019|Sanctis2019|Validation Research|Case Study
2019|Seifermann2019|Evaluation Research|Technical Experiment
2019|Sion2019|Proposal of Solution,Validation Research|Motivating Example
2019|Soezer2019|Proposal of Solution,Validation Research|Benchmark
2019|Telschig2019|Proposal of Solution,Validation Research|Case Study
2019|Tian2019|Evaluation Research|Grounded Theory
2019|Tuma2019|Proposal of Solution|Case Study
2019|Ullah2019|Validation Research|Technical Experiment
2019|Verdecchia2019|Proposal of Solution|None
2019|Waegemann2019|Proposal of Solution|Case Study
2019|Weber2019|Evaluation Research|Argumentation,Technical Experiment
2019|Wohlrab2019a|Evaluation Research,Proposal of Solution|Interview
2019|Wohlrab2019|Evaluation Research|Questionnaire
2019|Yasaweerasinghelage2019|Evaluation Research|Case Study
2019|Zhang2019|Evaluation Research|Interview
2020|Alkhabbas2020|Proposal of Solution,Validation Research|Technical Experiment
2020|Almeida2020|Proposal of Solution|Case Study
2020|Baresi2020|Validation Research|Technical Experiment
2020|Brito2020|Validation Research,Evaluation Research|Controlled Experiment
2020|Bucaioni2020|Evaluation Research|Focus Group,Focus Group
2020|Camara2020|Proposal of Solution,Validation Research|Technical Experiment
2020|Caporuscio2020a|Proposal of Solution|Technical Experiment
2020|Caporuscio2020b|Evaluation Research|Case Study
2020|Cardoso2020|Validation Research,Proposal of Solution|Benchmark
2020|Chondamrongkul2020|Proposal of Solution|Benchmark
2020|Dias2020|Proposal of Solution,Validation Research|Technical Experiment
2020|Giaimo2020|Evaluation Research|Technical Experiment,Argumentation
2020|Islam2020|Proposal of Solution|Case Study
2020|Jasser2020|Evaluation Research|Case Study
2020|Koziolek2020|Evaluation Research|Technical Experiment
2020|Kugele2020|Evaluation Research|Argumentation,Technical Experiment
2020|Matias2020|Proposal of Solution|Case Study,Questionnaire
2020|Mazkatli2020|Proposal of Solution|Case Study
2020|Mendonca2020|Evaluation Research,Proposal of Solution,Validation Research|Technical Experiment,Technical Experiment
2020|Mizutani2020|Proposal of Solution,Validation Research|Controlled Experiment,Argumentation
2020|Moghaddam2020|Proposal of Solution|Case Study
2020|Ntentos2020|Evaluation Research|Grounded Theory
2020|Sanctis2020|Proposal of Solution,Validation Research|Technical Experiment
2020|Santos2020|Proposal of Solution,Validation Research|Technical Experiment
2020|Selmadji2020|Evaluation Research|Technical Experiment
2020|Tran2020|Evaluation Research|Case Study
2020|Verdecchia2020|Proposal of Solution,Validation Research|Grounded Theory
2020|Wang2020|Evaluation Research|Controlled Experiment,Technical Experiment
2020|Werle2020|Proposal of Solution,Validation Research|Case Study,Case Study
2020|Zhang2020|Evaluation Research|Case Study
2020|Zhao2020|Proposal of Solution,Validation Research,Evaluation Research|Case Study,Case Study
2021|Bonfanti2021|Evaluation Research|Motivating Example
2021|Bucaioni2021|Proposal of Solution|Interview
2021|Cadavid2021|Evaluation Research|Interview,Focus Group
2021|Camara2021|Proposal of Solution|Case Study
2021|Caporuscio2021|Proposal of Solution,Validation Research|Technical Experiment
2021|Garcia2021|Evaluation Research|Case Study
2021|Genfer2021|Evaluation Research|Case Study
2021|Keim2021|Evaluation Research|Case Study
2021|Knoche2021|Evaluation Research,Proposal of Solution|Questionnaire,Technical Experiment
2021|Koziolek2021|Evaluation Research|Technical Experiment
2021|Le2021|Evaluation Research|Data Science
2021|Lo2021|Proposal of Solution|Data Science
2021|Monschein2021|Evaluation Research|Technical Experiment
2021|Ntentos2021|Proposal of Solution,Validation Research|Technical Experiment
2021|Olsson2021|Validation Research|Technical Experiment
2021|Pinciroli2021|Proposal of Solution,Validation Research|Motivating Example,Motivating Example
2021|Raatikainen2021|Evaluation Research|Interview
2021|Shabelnyk2021|Proposal of Solution|Case Study
2021|Shokri2021|Proposal of Solution,Validation Research,Evaluation Research|Technical Experiment,Technical Experiment
2021|Sinkala2021|Evaluation Research|Case Study
2021|Sodhi2021|Proposal of Solution|None
2021|Soliman2021a|Evaluation Research|Technical Experiment
2021|Soliman2021|Evaluation Research|Case Study
2021|Woods2021|Validation Research|Questionnaire
2021|Xu2021|Proposal of Solution|Interview
