Year|Paper ID|Paper class
2021|Garcia2021|Evaluation Research
2021|Genfer2021|Evaluation Research
2021|Keim2021|Evaluation Research
2021|Knoche2021|Evaluation Research,Proposal of Solution
2021|Koziolek2021|Evaluation Research
2021|Le2021|Evaluation Research
2021|Lo2021|Proposal of Solution
2021|Monschein2021|Evaluation Research
2021|Ntentos2021|Proposal of Solution,Validation Research
2021|Olsson2021|Validation Research
2021|Pinciroli2021|Proposal of Solution,Validation Research
2021|Raatikainen2021|Evaluation Research
2021|Shabelnyk2021|Proposal of Solution
2021|Shokri2021|Proposal of Solution,Validation Research,Evaluation Research
2021|Sinkala2021|Evaluation Research
2021|Sodhi2021|Proposal of Solution
2021|Soliman2021a|Evaluation Research
2021|Soliman2021|Evaluation Research
2021|Woods2021|Validation Research
2021|Xu2021|Proposal of Solution
